Word,Count,Length
hearts,8,6
sing,6,4
twinkle,8,7
fly,3,3
tea-tray,1,8
pinch,2,5
bawled,1,6
murdering,1,9
exclaimed,6,9
mournful,1,8
tea-things,1,10
sigh,4,4
wash,2,4
whiles,1,6
interrupted,9,11
yawning,2,7
vote,1,4
lady,3,4
alarmed,1,7
proposal,1,8
wake,2,4
pinched,2,7
fellows,1,7
sisters,2,7
names,2,5
elsie,1,5
lacie,1,5
tillie,1,6
lived,3,5
eating,1,6
drinking,1,8
treacle,5,7
living,2,6
opinion,1,7
triumphantly,2,12
helped,1,6
bread-and-butter,6,16
treacle-well,2,12
sulkily,2,7
interrupt,1,9
consented,1,9
learning,2,8
promise,1,7
clean,1,5
unwillingly,1,11
upset,3,5
milk-jug,1,8
offend,1,6
water-well,1,10
choosing,1,8
interrupting,2,12
rubbing,2,7
manner,2,6
closed,2,6
doze,1,4
woke,1,4
mouse-traps,1,11
moon,1,4
memory,1,6
muchness,3,8
drawing,1,7
piece,5,5
rudeness,1,8
disgust,1,7
teapot,1,6
stupidest,1,9
leading,1,7
unlocking,1,9
flower-beds,1,11
croquet-ground,3,14
rose-tree,4,9
entrance,1,8
roses,3,5
gardeners,8,9
painting,2,8
red,2,3
paint,1,5
jogged,1,6
blame,1,5
deserved,1,8
beheaded,3,8
spoken,1,6
tulip-roots,1,11
onions,1,6
flung,1,5
brush,1,5
unjust,1,6
chanced,1,7
watching,3,8
checked,3,7
afore,1,5
flat,2,4
eager,3,5
soldiers,10,8
carrying,2,8
clubs,1,5
oblong,1,6
corners,1,7
courtiers,2,9
ornamented,2,10
diamonds,1,8
royal,2,5
merrily,1,7
couples,1,7
guests,3,6
kings,1,5
queens,1,6
recognised,1,10
noticing,1,8
knave,9,5
king,63,4
crimson,2,7
velvet,1,6
procession,5,10
lie,2,3
rule,5,4
processions,1,11
smiled,2,6
idiot,1,5
majesty,12,7
pack,5,4
cards,3,5
pattern,1,7
glaring,1,7
beast,1,5
bowing,1,6
humble,1,6
knee,5,4
examining,1,9
remaining,1,9
execute,1,7
unfortunate,3,11
protection,1,10
flower-pot,1,10
marched,1,7
evidently,1,9
roared,1,6
fine,2,4
peeping,1,7
hush,3,4
whispered,5,9
execution,3,9
boxed,1,5
scream,2,6
laughter,1,8
thunder,1,7
ridges,1,6
